,PRECISION CL.1,RECALL CL.1,F1 CL.1,AUC-ROC,G-MEAN,TTD (fenêtres),RANK
MeNU+ (AE+XGB+Agg),0.5714285714285714,0.8794326241134752,0.6927374301675978,0.9056745085963811,0.8528843667188934,-0.42424242424242425,1
XGBoost+Agg (sans AE),0.5361575822989746,0.9298081422554983,0.6801300701694335,0.9206089780114005,0.8501583715365536,-2.25,2
RF (features brutes),0.5800756620428752,0.8610201216658867,0.6931625541533245,0.9271410335053983,0.8440738660492744,,3
LightGBM (features brutes),0.6275009094216079,0.8072063640617688,0.7060990585345887,0.9355462357040158,0.8367415995232618,,4
XGBoost (features brutes),0.5318489289740699,0.8830135704258306,0.6638522427440633,0.9168428938927022,0.8324832711765889,,5
Ensemble (XGB+LGBM+LR),0.5910488554834301,0.8095460926532522,0.6832543443917851,0.8984986943587083,0.8270577385519081,,6
XGBoost + AE,0.5351934051997463,0.7898923724847917,0.6380646380646381,0.8842534144277605,0.7999341696943224,,7
Logistic Regression,0.4572317262830482,0.8254562470753393,0.5884904086738949,0.7930264268101378,0.7756007905329715,,8
RF + AE,0.30085261875761266,0.4827361563517915,0.3706853426713357,0.6142914288979778,0.5678693247857056,,9
Majority Baseline,0.0,0.0,0.0,0.5,0.0,,10
